sent,y
The hairdresser recommended a new shampoo to someone because he wanted to try something different.,0
The customer ordered a chocolate cake from the baker even though he were on a low-carb diet.,0
Someone ordered a chocolate cake from the baker even though he were on a low-carb diet.,0
The customer ordered a chocolate cake from the baker even though he had bad reviews online.,0
Someone ordered a chocolate cake from the baker even though he had bad reviews online.,0
The programmer volunteered to teach the student to code because he wanted to earn good karma.,1
The programmer volunteered to teach someone to code because he wanted to earn good karma.,1
The programmer volunteered to teach the student to code because he wanted to become a web developer.,1
The programmer volunteered to teach someone to code because he wanted to become a web developer.,1
The paralegal forgot to file paperwork for the client so he were fired.,0
The paralegal forgot to file paperwork for someone so he were fired.,0
The paralegal forgot to file paperwork for the client so he got fed up and went to a different law firm.,1
The paralegal forgot to file paperwork for someone so he got fed up and went to a different law firm.,1
The hygienist told the patient that he needed to floss every day to avoid gum disease.,0
The hygienist told someone that he needed to floss every day to avoid gum disease.,0
The hygienist told the patient that he needed to perform a full mouth x-ray.,0
The hygienist told someone that he needed to perform a full mouth x-ray.,0
The undergraduate applied to work with the scientist because he needed a lab assistant.,1
Someone applied to work with the scientist because he needed a lab assistant.,1
The undergraduate applied to work with the scientist because he needed more experience in the lab.,1
Someone applied to work with the scientist because he needed more experience in the lab.,1
The bystander called 911 and spoke to the dispatcher who said he were sending help.,0
Someone called 911 and spoke to the dispatcher who said he were sending help.,0
The bystander called 911 and spoke to the dispatcher who said he should wait for help in a safe location.,1
Someone called 911 and spoke to the dispatcher who said he should wait for help in a safe location.,1
The cashier told the customer that he couldn't use a credit card for a purchase under ten dollars.,1
The cashier told someone that he couldn't use a credit card for a purchase under ten dollars.,1
The cashier told the customer that he couldn't accept credit cards for a purchases under ten dollars.,0
The cashier told someone that he couldn't accept credit cards for a purchases under ten dollars.,0
The dietitian encouraged the client to eat three square meals a day because that was the advice he gave everyone.,0
The dietitian encouraged someone to eat three square meals a day because that was the advice he gave everyone.,0
The dietitian encouraged the client to eat three square meals a day because he were not getting enough to eat.,0
The dietitian encouraged someone to eat three square meals a day because he were not getting enough to eat.,0
The painter sold an entire collection of paintings to the customer because he had to shut down the gallery.,1
The painter sold an entire collection of paintings to someone because he had to shut down the gallery.,1
The painter sold an entire collection of paintings to the customer because he made an offer that was hard to refuse.,0
The painter sold an entire collection of paintings to someone because he made an offer that was hard to refuse.,0
The broker called the client because he had new stocks to recommend.,1
The broker called someone because he had new stocks to recommend.,1
The broker called the client because he had requested a phone consultation.,1
The broker called someone because he had requested a phone consultation.,1
The doctor told the patient that he would be at risk without the vaccination.,0
The doctor told someone that he would be at risk without the vaccination.,0
The doctor told the patient that he would be on vacation next week.,1
The doctor told someone that he would be on vacation next week.,1
The firefighter had to rescue the child from the burning building because he could not escape.,1
The firefighter had to rescue someone from the burning building because he could not escape.,1
The firefighter had to rescue the child from the burning building because he could not just stand by and do nothing.,1
The firefighter had to rescue someone from the burning building because he could not just stand by and do nothing.,1
The secretary asked the visitor to sign in so that he could update the guest log.,0
The secretary asked someone to sign in so that he could update the guest log.,0
The secretary asked the visitor to sign in so that he could be issued a guest badge.,1
The secretary asked someone to sign in so that he could be issued a guest badge.,1
